data_id,data_cnt,origin_vote,S_id,vote,random_label
1,44,1,1,1,17
2,1,18,26,18,18
3,1,24,27,24,13
4,37,3,4,4,1
5,17,21,8,8,18
6,86,8,7,7,21
7,67,11,11,11,16
8,1,25,28,25,2
9,37,3,4,4,9
10,1,25,29,25,17
11,1,13,30,9,19
12,86,8,7,7,1
13,1,7,31,9,12
14,1,18,32,18,10
15,1,24,33,24,17
16,1,25,34,25,24
17,1,24,35,24,25
18,1,23,36,22,1
19,42,6,6,6,17
20,1,18,37,18,18
21,43,5,5,5,23
22,63,16,20,20,13
23,1,17,38,19,24
24,42,6,6,6,15
25,42,6,6,6,15
26,1,18,39,18,10
27,42,6,6,6,12
28,1,18,40,18,20
29,1,24,41,9,11
30,63,16,20,20,25
31,1,24,42,24,5
32,86,8,7,7,21
33,1,24,43,24,4
34,43,5,5,5,4
35,1,19,44,21,14
36,1,23,45,22,18
37,43,5,5,5,10
38,53,22,21,21,4
39,43,5,5,5,20
40,86,8,7,7,19
41,1,17,46,19,17
42,1,17,47,19,24
43,67,11,11,11,24
44,1,24,48,24,2
45,1,21,49,23,18
46,43,5,5,5,7
47,1,12,50,16,21
48,1,25,51,25,25
49,86,8,7,7,22
50,1,11,52,11,1
51,1,12,53,16,6
52,1,24,54,24,22
53,1,14,55,15,15
54,1,24,56,24,3
55,1,24,57,17,1
56,1,24,58,16,2
57,75,9,10,10,14
58,1,12,59,16,19
59,1,24,60,24,21
60,1,12,61,16,22
61,67,11,11,11,15
62,43,5,5,5,8
63,43,5,5,5,11
64,43,5,5,5,20
65,32,25,25,25,2
66,1,23,62,22,15
67,1,21,63,23,4
68,1,17,64,19,7
69,86,8,7,7,23
70,1,18,65,18,17
71,1,19,66,23,15
72,1,3,67,4,3
73,75,9,10,10,3
74,42,6,6,6,7
75,56,14,15,15,4
76,75,9,10,10,12
77,53,22,21,21,8
78,1,2,68,3,16
79,53,22,21,21,17
80,42,6,6,6,11
81,11,13,9,9,7
82,56,14,15,15,17
83,1,15,69,14,24
84,42,6,6,6,2
85,63,16,20,20,10
86,86,8,7,7,1
87,32,25,25,25,1
88,67,11,11,11,2
89,33,20,17,17,6
90,1,20,70,17,23
91,1,13,71,9,5
92,1,19,72,10,21
93,1,20,73,17,17
94,63,16,20,20,13
95,1,17,74,19,10
96,86,8,7,7,8
97,1,20,75,17,9
98,1,21,76,8,2
99,1,20,77,17,7
100,1,21,78,8,6
101,1,21,79,8,19
102,1,15,80,14,12
103,1,19,81,12,11
104,86,8,7,7,12
105,1,13,82,9,21
106,1,17,83,19,24
107,56,14,15,15,21
108,43,5,5,5,12
109,1,17,84,19,4
110,86,8,7,7,7
111,33,20,17,17,13
112,1,12,85,16,21
113,1,24,86,17,24
114,23,4,13,13,6
115,1,22,87,21,13
116,1,24,88,24,17
117,1,12,89,16,19
118,1,22,90,21,12
119,43,5,5,5,8
120,56,14,15,15,2
121,86,8,7,7,17
122,53,22,21,21,6
123,86,8,7,7,25
124,32,25,25,25,7
125,1,17,91,19,15
126,1,17,92,19,3
127,19,23,22,22,10
128,75,9,10,10,17
129,1,14,93,13,18
130,75,9,10,10,12
131,86,8,7,7,21
132,19,23,22,22,25
133,1,15,94,14,3
134,1,18,95,18,20
135,1,21,96,8,3
136,1,12,97,16,24
137,1,9,98,10,21
138,17,21,8,8,4
139,1,17,99,19,13
140,86,8,7,7,17
141,1,15,100,14,17
142,86,8,7,7,18
143,1,24,101,24,4
144,67,11,11,11,24
145,86,8,7,7,7
146,1,17,102,19,15
147,1,21,103,23,22
148,1,13,104,9,18
149,1,13,105,9,23
150,37,3,4,4,7
151,19,23,22,22,3
152,1,21,106,23,20
153,43,5,5,5,24
154,86,8,7,7,18
155,1,16,107,20,15
156,1,10,108,2,25
157,1,21,109,23,24
158,63,16,20,20,2
159,1,10,110,2,3
160,1,18,111,24,7
161,1,20,112,22,8
162,1,18,113,18,22
163,1,15,114,14,9
164,1,17,115,19,4
165,1,13,116,9,3
166,43,5,5,5,1
167,1,17,117,19,1
168,1,20,118,17,25
169,1,24,119,24,15
170,1,13,120,9,21
171,1,17,121,19,25
172,1,20,122,17,12
173,1,13,123,9,20
174,1,18,124,18,25
175,1,18,125,18,19
176,1,20,126,17,10
177,1,2,127,11,10
178,1,2,128,3,3
179,33,20,17,17,22
180,1,6,129,6,9
181,1,19,130,23,4
182,67,11,11,11,6
183,1,15,131,14,1
184,42,6,6,6,13
185,33,20,17,17,9
186,1,2,132,3,6
187,1,10,133,2,3
188,1,15,134,14,15
189,1,17,135,22,25
190,86,8,7,7,22
191,1,23,136,22,18
192,1,18,137,18,21
193,67,11,11,11,12
194,75,9,10,10,11
195,1,22,138,21,4
196,63,16,20,20,2
197,19,23,22,22,1
198,1,18,139,18,15
199,1,17,140,19,13
200,1,2,141,3,18
201,1,10,142,2,1
202,63,16,20,20,16
203,1,17,143,19,1
204,1,4,144,13,16
205,43,5,5,5,17
206,63,16,20,20,22
207,53,22,21,21,3
208,86,8,7,7,10
209,32,25,25,25,20
210,1,17,145,19,12
211,1,20,146,7,25
212,1,24,147,24,21
213,1,17,148,19,19
214,67,11,11,11,3
215,1,18,149,18,12
216,42,6,6,6,11
217,67,11,11,11,25
218,1,21,150,6,25
219,86,8,7,7,9
220,1,13,151,9,25
221,1,17,152,19,6
222,1,15,153,14,9
223,1,10,154,2,18
224,1,10,155,2,24
225,42,6,6,6,13
226,1,10,156,2,1
227,86,8,7,7,19
228,1,18,157,18,25
229,86,8,7,7,24
230,75,9,10,10,6
231,1,23,158,22,18
232,1,25,159,25,7
233,1,19,160,23,11
234,1,17,161,19,24
235,43,5,5,5,1
236,86,8,7,7,9
237,1,23,162,22,2
238,75,9,10,10,17
239,1,24,163,24,21
240,1,24,164,24,11
241,67,11,11,11,13
242,53,22,21,21,21
243,1,24,165,24,12
244,1,19,166,23,24
245,56,14,15,15,22
246,1,24,167,24,9
247,67,11,11,11,7
248,1,25,168,25,6
249,43,5,5,5,10
250,37,3,4,4,14
251,42,6,6,6,17
252,1,21,169,8,25
253,63,16,20,20,5
254,37,3,4,4,2
255,32,25,25,25,20
256,1,2,170,3,10
257,42,6,6,6,13
258,1,9,171,10,1
259,1,22,172,21,12
260,9,18,18,18,18
261,1,17,173,19,20
262,86,8,7,7,21
263,43,5,5,5,11
264,1,23,174,18,20
265,1,2,175,3,22
266,1,2,176,3,5
267,1,17,177,19,6
268,42,6,6,6,24
269,53,22,21,21,11
270,1,2,178,3,19
271,1,21,179,8,5
272,1,25,180,25,21
273,1,2,181,3,18
274,67,11,11,11,4
275,67,11,11,11,8
276,1,2,182,3,9
277,1,17,183,19,19
278,1,20,184,17,8
279,43,5,5,5,3
280,1,2,185,3,20
281,67,11,11,11,19
282,67,11,11,11,7
283,1,2,186,3,25
284,56,14,15,15,7
285,56,14,15,15,16
286,1,18,187,18,25
287,1,6,188,6,19
288,1,17,189,19,15
289,43,5,5,5,8
290,1,23,190,22,21
291,1,20,191,7,23
292,1,4,192,13,24
293,75,9,10,10,5
294,1,12,193,4,12
295,1,18,194,18,6
296,1,24,195,24,15
297,1,20,196,17,24
298,43,5,5,5,24
299,1,13,197,9,3
300,86,8,7,7,16
301,1,15,198,14,14
302,1,14,199,15,16
303,1,18,200,18,23
304,63,16,20,20,20
305,1,19,201,12,8
306,86,8,7,7,25
307,43,5,5,5,14
308,1,17,202,19,14
309,1,6,203,6,14
310,56,14,15,15,10
311,86,8,7,7,22
312,86,8,7,7,1
313,75,9,10,10,16
314,42,6,6,6,22
315,1,23,204,18,2
316,11,13,9,9,4
317,11,13,9,9,24
318,86,8,7,7,1
319,11,13,9,9,12
320,1,19,205,23,10
321,1,19,206,23,14
322,32,25,25,25,4
323,1,25,207,25,5
324,23,4,13,13,17
325,11,13,9,9,7
326,1,17,208,19,23
327,1,17,209,19,3
328,11,13,9,9,17
329,67,11,11,11,5
330,75,9,10,10,17
331,1,21,210,8,24
332,23,4,13,13,17
333,43,5,5,5,13
334,1,13,211,9,4
335,75,9,10,10,6
336,75,9,10,10,2
337,32,25,25,25,20
338,56,14,15,15,12
339,1,4,212,13,18
340,11,13,9,9,9
341,1,23,213,4,6
342,32,25,25,25,10
343,1,17,214,19,6
344,1,18,215,18,4
345,75,9,10,10,11
346,1,20,216,17,11
347,11,13,9,9,1
348,11,13,9,9,14
349,63,16,20,20,13
350,32,25,25,25,10
351,1,24,217,24,20
352,86,8,7,7,15
353,32,25,25,25,3
354,23,4,13,13,11
355,32,25,25,25,14
356,32,25,25,25,23
357,67,11,11,11,15
358,32,25,25,25,10
359,1,4,218,13,11
